frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,103.0,7.0,641.0,79.0,290.0,84.0,343.0,68.0,692.0,84.0
2.0,153.0,7.0,625.0,76.0,253.0,79.0,357.0,73.0,695.0,82.0
3.0,155.0,7.0,605.0,74.0,218.0,72.0,370.0,77.0,702.0,78.0
4.0,166.0,7.0,578.0,74.0,189.0,67.0,383.0,78.0,758.0,38.0
5.0,149.0,7.0,557.0,78.0,173.0,65.0,387.0,77.0,690.0,67.0
6.0,155.0,7.0,542.0,78.0,147.0,65.0,394.0,76.0,691.0,68.0
7.0,161.0,7.0,516.0,74.0,123.0,60.0,404.0,77.0,679.0,70.0
8.0,144.0,7.0,491.0,71.0,91.0,68.0,416.0,78.0,689.0,69.0
9.0,159.0,8.0,467.0,72.0,53.0,65.0,424.0,75.0,688.0,72.0
10.0,156.0,8.0,449.0,77.0,56.0,80.0,431.0,76.0,691.0,73.0
11.0,148.0,8.0,432.0,72.0,60.0,83.0,439.0,78.0,697.0,76.0
12.0,157.0,8.0,412.0,73.0,59.0,82.0,450.0,76.0,695.0,76.0
13.0,154.0,8.0,390.0,70.0,58.0,69.0,459.0,76.0,697.0,71.0
14.0,144.0,8.0,373.0,69.0,55.0,67.0,464.0,77.0,693.0,68.0
15.0,148.0,8.0,356.0,72.0,58.0,68.0,468.0,77.0,694.0,66.0
16.0,144.0,8.0,348.0,70.0,57.0,68.0,470.0,76.0,689.0,64.0
17.0,159.0,8.0,325.0,69.0,56.0,61.0,472.0,75.0,685.0,61.0
18.0,150.0,8.0,315.0,67.0,53.0,66.0,476.0,74.0,693.0,61.0
19.0,154.0,8.0,302.0,67.0,51.0,69.0,478.0,74.0,695.0,64.0
20.0,154.0,8.0,289.0,68.0,48.0,62.0,481.0,73.0,696.0,68.0
21.0,153.0,8.0,272.0,71.0,8.0,34.0,485.0,73.0,695.0,67.0
22.0,159.0,8.0,252.0,68.0,52.0,82.0,499.0,71.0,698.0,66.0
23.0,134.0,8.0,239.0,68.0,11.0,37.0,504.0,71.0,690.0,65.0
24.0,135.0,8.0,228.0,70.0,47.0,73.0,509.0,70.0,697.0,68.0
25.0,127.0,8.0,211.0,68.0,46.0,70.0,519.0,68.0,702.0,68.0
26.0,126.0,8.0,194.0,69.0,7.0,31.0,526.0,68.0,696.0,70.0
27.0,119.0,8.0,180.0,70.0,53.0,76.0,532.0,68.0,698.0,71.0
28.0,149.0,8.0,167.0,69.0,57.0,65.0,533.0,68.0,700.0,70.0
29.0,126.0,8.0,158.0,72.0,46.0,66.0,537.0,68.0,698.0,70.0
30.0,144.0,8.0,142.0,70.0,50.0,62.0,538.0,68.0,706.0,75.0
31.0,115.0,8.0,125.0,70.0,50.0,63.0,540.0,68.0,699.0,77.0
32.0,138.0,8.0,115.0,67.0,52.0,77.0,541.0,70.0,702.0,76.0
33.0,131.0,8.0,103.0,71.0,52.0,87.0,546.0,69.0,688.0,71.0
34.0,124.0,8.0,91.0,70.0,54.0,82.0,551.0,68.0,690.0,72.0
35.0,141.0,8.0,80.0,69.0,8.0,80.0,556.0,67.0,691.0,71.0
36.0,114.0,8.0,66.0,73.0,55.0,87.0,558.0,71.0,684.0,71.0
37.0,128.0,8.0,67.0,73.0,55.0,80.0,563.0,72.0,692.0,72.0
38.0,123.0,8.0,69.0,73.0,57.0,75.0,569.0,71.0,692.0,73.0
39.0,130.0,8.0,66.0,72.0,55.0,60.0,578.0,67.0,693.0,72.0
40.0,121.0,8.0,76.0,72.0,58.0,80.0,585.0,68.0,698.0,72.0
41.0,130.0,8.0,79.0,71.0,61.0,90.0,593.0,69.0,699.0,74.0
42.0,132.0,8.0,67.0,72.0,55.0,99.0,599.0,68.0,702.0,81.0
43.0,121.0,8.0,76.0,70.0,52.0,92.0,606.0,72.0,694.0,79.0
44.0,123.0,8.0,77.0,69.0,64.0,89.0,612.0,73.0,701.0,81.0
45.0,122.0,8.0,73.0,67.0,52.0,82.0,620.0,70.0,696.0,79.0
46.0,124.0,8.0,70.0,69.0,66.0,86.0,630.0,70.0,694.0,78.0
47.0,112.0,8.0,84.0,62.0,59.0,83.0,636.0,72.0,688.0,80.0
48.0,134.0,8.0,92.0,63.0,66.0,81.0,639.0,71.0,695.0,78.0
49.0,135.0,8.0,109.0,64.0,54.0,88.0,644.0,69.0,692.0,78.0
50.0,126.0,8.0,132.0,62.0,59.0,81.0,641.0,79.0,691.0,82.0
51.0,133.0,8.0,159.0,65.0,65.0,76.0,638.0,81.0,692.0,81.0
52.0,131.0,8.0,176.0,66.0,65.0,80.0,652.0,78.0,696.0,80.0
53.0,129.0,8.0,193.0,62.0,51.0,87.0,662.0,79.0,696.0,81.0
