frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,705.0,90.0,357.0,57.0,334.0,84.0,692.0,82.0,64.0,71.0
2.0,706.0,96.0,364.0,63.0,285.0,87.0,675.0,74.0,63.0,75.0
3.0,244.0,6.0,365.0,61.0,243.0,96.0,656.0,80.0,69.0,74.0
4.0,246.0,6.0,390.0,65.0,207.0,99.0,642.0,73.0,73.0,72.0
5.0,244.0,6.0,414.0,63.0,194.0,85.0,625.0,72.0,84.0,74.0
6.0,705.0,83.0,437.0,69.0,164.0,73.0,608.0,70.0,100.0,76.0
7.0,702.0,82.0,462.0,78.0,134.0,69.0,593.0,71.0,109.0,74.0
8.0,245.0,6.0,485.0,69.0,102.0,64.0,579.0,71.0,122.0,63.0
9.0,244.0,6.0,512.0,60.0,56.0,78.0,566.0,71.0,132.0,60.0
10.0,247.0,6.0,528.0,67.0,63.0,78.0,557.0,74.0,142.0,55.0
11.0,245.0,6.0,545.0,67.0,54.0,78.0,550.0,77.0,145.0,60.0
12.0,245.0,6.0,558.0,74.0,64.0,78.0,537.0,75.0,114.0,68.0
13.0,245.0,6.0,582.0,75.0,48.0,75.0,528.0,75.0,81.0,70.0
14.0,247.0,6.0,597.0,77.0,52.0,74.0,516.0,73.0,77.0,66.0
15.0,244.0,6.0,603.0,78.0,54.0,87.0,512.0,72.0,76.0,69.0
16.0,246.0,6.0,568.0,74.0,63.0,77.0,502.0,70.0,78.0,63.0
17.0,229.0,6.0,530.0,79.0,62.0,79.0,494.0,70.0,88.0,63.0
18.0,248.0,6.0,522.0,76.0,56.0,77.0,486.0,73.0,86.0,60.0
19.0,165.0,6.0,551.0,68.0,51.0,82.0,481.0,72.0,74.0,67.0
20.0,225.0,6.0,563.0,68.0,53.0,93.0,475.0,73.0,89.0,67.0
21.0,195.0,6.0,571.0,73.0,51.0,84.0,471.0,71.0,98.0,60.0
22.0,194.0,6.0,597.0,68.0,53.0,84.0,465.0,75.0,102.0,60.0
23.0,187.0,6.0,617.0,63.0,54.0,81.0,459.0,76.0,82.0,65.0
24.0,173.0,6.0,622.0,69.0,70.0,82.0,455.0,77.0,87.0,64.0
25.0,174.0,6.0,628.0,74.0,82.0,75.0,449.0,74.0,101.0,59.0
26.0,169.0,6.0,575.0,81.0,64.0,88.0,444.0,73.0,116.0,62.0
27.0,189.0,6.0,530.0,81.0,61.0,77.0,440.0,76.0,132.0,62.0
28.0,168.0,6.0,518.0,71.0,51.0,82.0,434.0,76.0,159.0,67.0
29.0,169.0,6.0,517.0,69.0,68.0,69.0,426.0,74.0,177.0,68.0
30.0,167.0,6.0,538.0,72.0,58.0,69.0,423.0,79.0,193.0,81.0
31.0,122.0,6.0,561.0,71.0,50.0,71.0,416.0,80.0,208.0,71.0
32.0,202.0,6.0,582.0,65.0,61.0,75.0,413.0,77.0,234.0,69.0
33.0,128.0,6.0,609.0,66.0,61.0,78.0,408.0,76.0,259.0,75.0
34.0,128.0,6.0,622.0,71.0,69.0,72.0,402.0,76.0,280.0,78.0
35.0,138.0,6.0,635.0,72.0,64.0,76.0,401.0,74.0,296.0,72.0
36.0,140.0,6.0,648.0,72.0,61.0,86.0,395.0,75.0,311.0,66.0
37.0,156.0,6.0,662.0,66.0,65.0,85.0,387.0,75.0,310.0,61.0
38.0,127.0,6.0,675.0,63.0,63.0,93.0,384.0,74.0,325.0,67.0
39.0,139.0,6.0,676.0,79.0,50.0,99.0,376.0,71.0,335.0,61.0
40.0,131.0,6.0,645.0,79.0,49.0,97.0,372.0,71.0,345.0,63.0
41.0,206.0,6.0,605.0,76.0,56.0,86.0,368.0,73.0,359.0,62.0
42.0,129.0,6.0,567.0,87.0,56.0,76.0,362.0,77.0,374.0,62.0
43.0,203.0,6.0,558.0,65.0,52.0,79.0,351.0,77.0,383.0,60.0
44.0,159.0,6.0,553.0,72.0,63.0,83.0,348.0,75.0,392.0,59.0
45.0,205.0,6.0,530.0,75.0,69.0,76.0,347.0,76.0,402.0,64.0
46.0,129.0,6.0,510.0,78.0,63.0,81.0,339.0,79.0,413.0,58.0
47.0,208.0,6.0,486.0,82.0,47.0,97.0,335.0,77.0,430.0,56.0
48.0,165.0,6.0,500.0,70.0,51.0,88.0,329.0,75.0,438.0,59.0
49.0,120.0,6.0,515.0,69.0,70.0,83.0,327.0,79.0,448.0,59.0
50.0,88.0,6.0,533.0,68.0,72.0,75.0,320.0,80.0,455.0,56.0
51.0,209.0,6.0,561.0,68.0,48.0,92.0,316.0,81.0,466.0,63.0
